Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
AUBANK,BULLISH,1033.5,1.73,5.72,Above,1027.97,Gap Up | Above VWAP | EMA Aligned,71.4,Financial Services,6,1030.81,1027.5,0.18
HDFCLIFE,BULLISH,592.75,1.0,3.69,Above,592.5,Above VWAP | EMA Aligned | RSI Momentum,65.0,Financial Services,5,591.1,590.24,0.18
HINDPETRO,BULLISH,378.2,0.97,2.91,Above,377.47,Above VWAP | EMA Aligned | RSI Momentum,65.0,Energy,5,377.4,376.26,0.22
HINDZINC,BEARISH,606.8,1.82,3.76,Below,609.64,Gap Up | EMA Aligned | Volume Surge,38.0,Basic Materials,5,606.59,604.4,0.2
IEX,BULLISH,127.26,1.65,4.46,Above,126.1,Gap Up | Above VWAP | EMA Aligned,60.1,Financial Services,5,126.89,126.4,0.23
INDIANB,BEARISH,838.5,-1.57,2.57,Below,865.77,Volume Surge | Gap Down | EMA Aligned,30.0,Financial Services,6,843.54,846.27,0.24
INOXWIND,BULLISH,102.39,1.43,1.7,Above,100.77,Above VWAP | EMA Aligned | RSI Momentum,63.2,Industrials,5,101.78,100.94,0.7
JSWSTEEL,BEARISH,1272.6,0.64,3.93,Below,1276.97,EMA Aligned | Volume Surge | Below VWAP,35.7,Basic Materials,5,1271.9,1270.03,0.23
KFINTECH,BEARISH,880.9,-1.65,1.68,Below,920.01,Volume Surge | Gap Down | EMA Aligned,37.7,Technology,6,885.61,891.89,0.28
LUPIN,BULLISH,2350.0,1.94,3.15,Above,2308.51,Gap Up | Above VWAP | EMA Aligned,63.7,Healthcare,6,2344.47,2332.08,0.23
M&M,BULLISH,3135.8,1.24,3.34,Above,3122.8,Above VWAP | EMA Aligned | Breakout,51.8,Consumer Cyclical,5,3132.39,3124.18,0.29
MCX,BULLISH,2951.8,-0.66,3.07,Above,2940.56,Above VWAP | RSI Momentum | Breakout,61.0,Financial Services,5,2949.6,2960.98,0.53
MOTHERSON,BEARISH,121.81,0.5,3.59,Below,123.61,Volume Surge | Below VWAP | RSI Momentum,34.1,Consumer Cyclical,5,122.05,121.91,0.18
MPHASIS,BEARISH,2261.0,-0.69,2.17,Below,2290.25,Volume Surge | Below VWAP | EMA Aligned,33.7,Technology,5,2272.07,2281.93,0.24
NATIONALUM,BEARISH,406.75,1.87,2.2,Below,418.84,Gap Up | Volume Surge | EMA Aligned,36.7,Basic Materials,5,406.83,407.31,0.3
NAUKRI,BEARISH,984.7,1.22,4.28,Below,995.96,Volume Surge | Below VWAP | RSI Momentum,37.9,Communication Services,5,986.03,983.35,0.2
NMDC,BEARISH,89.57,-0.89,3.84,Below,90.96,Volume Surge | Below VWAP | EMA Aligned,34.9,Basic Materials,6,89.76,90.01,0.2
PAYTM,BEARISH,1116.4,1.88,4.09,Below,1116.54,Gap Up | EMA Aligned | Volume Surge,42.1,Technology,5,1116.21,1111.46,0.21
PETRONET,BULLISH,280.5,1.35,2.76,Above,278.35,Above VWAP | EMA Aligned | RSI Momentum,71.8,Energy,5,279.26,278.6,0.24
PREMIERENE,BULLISH,1035.5,1.7,3.19,Above,1026.63,Gap Up | Above VWAP | EMA Aligned,60.2,Technology,5,1032.38,1025.61,0.31
RVNL,BEARISH,300.15,0.84,3.78,Below,303.12,Volume Surge | Below VWAP | RSI Momentum,44.7,Industrials,5,300.2,299.7,0.24
SBILIFE,BULLISH,1838.6,1.08,3.27,Above,1818.22,Above VWAP | EMA Aligned | RSI Momentum,59.9,Financial Services,5,1835.98,1829.73,0.16
SBIN,BEARISH,1079.1,1.0,2.72,Below,1085.04,Volume Surge | Below VWAP | RSI Momentum,42.8,Financial Services,5,1081.65,1079.04,0.22
TCS,BEARISH,2438.3,-1.44,3.37,Below,2463.28,Volume Surge | Below VWAP | EMA Aligned,34.4,Technology,5,2443.76,2452.95,0.16
UNIONBANK,BEARISH,166.33,0.24,5.48,Below,168.83,Volume Surge | Below VWAP | RSI Momentum,41.3,Financial Services,5,166.77,166.54,0.2
VBL,BEARISH,514.65,0.18,5.27,Below,521.01,Volume Surge | Below VWAP | RSI Momentum,40.2,Consumer Defensive,5,516.02,515.53,0.25
VOLTAS,BULLISH,1453.4,1.61,3.11,Below,1472.02,Gap Up | EMA Aligned | RSI Momentum,65.1,Consumer Cyclical,5,1449.22,1441.89,0.3
WIPRO,BEARISH,201.2,0.27,4.53,Below,202.33,Volume Surge | Below VWAP | EMA Aligned,44.8,Technology,6,201.31,201.36,0.11
YESBANK,BULLISH,20.19,1.3,4.64,Above,20.13,Above VWAP | EMA Aligned | RSI Momentum,60.9,Financial Services,6,20.17,20.11,0.15
